cycle,branch,forecastdate,district,candidateA,candidateB,displaystep,description,margin,lite_weight,classic_weight,deluxe_weight,simulations,timestamp
2022,Senate,11/6/22,WI-S3,Mandela Barnes,Ron Johnson,4,Expert ratings adjusted for national environment,-5.556385,0,0,8.923228,40000,20:35:27  6 Nov 2022
2022,Senate,11/6/22,WI-S3,Mandela Barnes,Ron Johnson,3,Fundamentals (non-polling factors),-5.218202,0,1.284435,1.284435,40000,20:35:27  6 Nov 2022
2022,Senate,11/6/22,WI-S3,Mandela Barnes,Ron Johnson,2,CANTOR (analysis of comparable disticts),-7.181741,0,.1545999,.1545999,40000,20:35:27  6 Nov 2022
2022,Senate,11/6/22,WI-S3,Mandela Barnes,Ron Johnson,1,Polls adjusted for house effects & other factors,-3.138638,16.45183,16.45183,16.45183,40000,20:35:27  6 Nov 2022
2022,Senate,11/6/22,WA-S3,Patty Murray,Tiffany Smiley,4,Expert ratings adjusted for national environment,10.22107,0,0,6.061917,40000,20:35:27  6 Nov 2022
2022,Senate,11/6/22,WA-S3,Patty Murray,Tiffany Smiley,3,Fundamentals (non-polling factors),15.79369,0,1.342794,1.342794,40000,20:35:27  6 Nov 2022
2022,Senate,11/6/22,WA-S3,Patty Murray,Tiffany Smiley,2,CANTOR (analysis of comparable disticts),12.83242,0,.0962403,.0962403,40000,20:35:27  6 Nov 2022
2022,Senate,11/6/22,WA-S3,Patty Murray,Tiffany Smiley,1,Polls adjusted for house effects & other factors,6.825794,10.71497,10.71497,10.71497,40000,20:35:27  6 Nov 2022
2022,Senate,11/6/22,VT-S3,Peter Welch,Gerald Malloy,4,Expert ratings adjusted for national environment,24.67891,0,0,1.959456,40000,20:35:27  6 Nov 2022
2022,Senate,11/6/22,VT-S3,Peter Welch,Gerald Malloy,3,Fundamentals (non-polling factors),27.11148,0,1.284435,1.284435,40000,20:35:27  6 Nov 2022
2022,Senate,11/6/22,VT-S3,Peter Welch,Gerald Malloy,2,CANTOR (analysis of comparable disticts),15.59645,0,.1545999,.1545999,40000,20:35:27  6 Nov 2022
2022,Senate,11/6/22,VT-S3,Peter Welch,Gerald Malloy,1,Polls adjusted for house effects & other factors,25.99169,2.489629,2.489629,2.489629,40000,20:35:27  6 Nov 2022
2022,Senate,11/6/22,UT-S3,Evan McMullin,Mike Lee,4,Expert ratings adjusted for national environment,-13.93755,0,0,3.193554,40000,20:35:27  6 Nov 2022
